mic1,mic2,mic3,mic4
81,-133,-158,42
176,-62,-103,155
279,4,-29,244
380,88,47,336
491,178,128,450
582,253,222,546
662,341,296,615
742,427,364,684
791,495,432,761
840,556,499,828
873,595,547,866
872,633,604,872
875,676,640,875
855,685,661,868
819,687,674,864
783,690,680,826
81,-132,-157,42
177,-62,-104,155
279,4,-29,244
380,87,46,336
491,178,127,450
582,252,222,547
663,341,297,615
742,427,364,685
792,494,432,761
840,556,499,827
873,594,547,865
872,632,604,871
875,676,640,874
855,684,660,868
820,685,672,864
783,690,681,826
711,682,691,759
650,653,668,694
595,609,633,635
511,579,597,566
441,543,568,489
377,505,516,414
311,446,454,334
256,398,414,274
194,345,353,197
118,299,288,129
62,241,232,68
-7,163,163,-25
-72,116,106,-85
-124,56,47,-145
-186,-6,-32,-211
-244,-67,-91,-266
-290,-117,-135,-322
-331,-172,-188,-374
-367,-232,-224,-419
-420,-273,-283,-449
-463,-313,-335,-485
-490,-360,-367,-510
-515,-400,-416,-530
-506,-435,-454,-534
-508,-466,-472,-521
-514,-480,-486,-522
-509,-501,-501,-518
-506,-517,-512,-514
-500,-520,-523,-493
-484,-521,-516,-476
-461,-515,-513,-463
-438,-500,-505,-442
-423,-481,-493,-436
-399,-461,-478,-417
-360,-438,-473,-386
-317,-401,-446,-350
-265,-355,-404,-296
-200,-317,-357,-223
-107,-250,-288,-153
-21,-167,-231,-67
93,-96,-149,48
211,-7,-71,162
323,95,20,276
452,214,123,396
573,326,216,516
693,437,328,633
794,555,437,743
883,668,546,837
629,446,398,615
690,516,474,701
727,573,535,751
743,632,601,771
752,683,649,781
755,726,677,782
756,750,705,771
756,755,729,761
728,773,730,744
689,764,719,710
644,749,701,655
573,725,667,597
517,667,633,538
444,620,589,462
355,547,527,396
284,487,460,309
206,407,390,226
135,315,312,167
72,242,232,112
12,179,165,41
-32,120,104,-9
-57,59,43,-37
-71,23,-5,-69
-84,-9,-41,-83
-75,-25,-66,-81
-66,-35,-83,-78
-61,-42,-90,-84
-60,-28,-102,-79
-39,-22,-99,-78
-11,-17,-88,-57
12,8,-77,-28
34,30,-51,-13
50,32,-27,7
62,50,-10,26
66,65,3,52
72,86,27,49
71,89,44,63
73,97,56,74
79,109,55,52
73,86,41,39
52,85,35,33
32,68,29,10
8,41,17,-24
-33,5,-30,-58
-60,-27,-61,-83
-108,-65,-90,-125
-162,-105,-116,-178
-205,-145,-144,-211
-255,-185,-194,-266
-303,-225,-235,-313
-350,-266,-256,-368
-392,-291,-287,-403
-437,-321,-312,-439
-449,-343,-335,-472
-474,-363,-368,-490
-494,-379,-377,-513
-508,-404,-394,-527
-534,-415,-402,-562
-551,-423,-420,-579
-565,-430,-444,-582
-576,-434,-453,-594
-581,-437,-457,-601
-569,-432,-455,-609
-558,-432,-446,-616
-560,-419,-439,-619
-560,-414,-442,-612
-561,-417,-445,-610
-550,-412,-438,-593
-536,-390,-415,-587
-511,-382,-398,-574
-471,-379,-389,-538
-438,-356,-366,-508
-392,-343,-343,-465
-344,-317,-325,-408
-286,-293,-294,-332
-218,-252,-269,-272
-143,-215,-241,-197
-63,-181,-206,-111
-5,-136,-160,-49
62,-85,-113,27
136,-37,-67,88
203,10,-15,154
272,76,32,237
348,134,97,320
436,205,161,411
526,277,228,490
610,349,304,580
702,422,357,675
792,493,431,768
878,562,508,847
955,638,588,929
1025,722,655,1017
1100,797,714,1083
1167,876,801,1144
1237,955,867,1198
1255,1018,932,1254
1279,1079,988,1280
1302,1132,1036,1281
1294,1159,1075,1286
1275,1184,1105,1258
1217,1188,1111,1211
1163,1175,1101,1154
1092,1147,1089,1091
1009,1099,1055,1014
919,1043,1009,926
827,976,957,836
719,893,889,745
612,800,806,621
501,718,719,505
373,617,620,386
255,516,525,263
145,396,406,149
36,296,301,30
-81,199,196,-99
-192,72,82,-219
-294,-24,-16,-323
-395,-127,-132,-438
-483,-213,-216,-517
-569,-305,-309,-601
-649,-395,-403,-690
-714,-476,-471,-751
-800,-569,-550,-816
-865,-641,-616,-880
-913,-707,-678,-932
-970,-771,-738,-966
-1009,-834,-796,-1008
-1023,-883,-841,-1031
-1017,-911,-875,-1026
-1009,-935,-905,-1014
-981,-945,-899,-989
-933,-941,-899,-951
-879,-926,-892,-906
-796,-883,-867,-835
-702,-828,-824,-752
-593,-769,-754,-650
-460,-667,-673,-533
-339,-540,-572,-408
-197,-412,-469,-266
-65,-288,-333,-139
68,-156,-206,-7
209,-20,-88,115
310,110,49,238
398,227,152,342
484,324,244,432
552,407,342,510
593,485,412,563
628,544,468,612
660,579,530,653
680,606,571,675
675,627,591,687
658,634,609,680
644,634,612,650
612,626,603,629
573,609,588,589
530,589,569,538
479,570,550,498
425,534,513,443
363,495,464,373
299,466,422,309
242,406,372,255
167,342,320,183
96,281,258,113
26,214,199,48
